YRMO,FUND_TYPE,avg_med_limit,bkt_1_M_member_perc,bkt_1_F_member_perc,bkt_2_M_member_perc,bkt_2_F_member_perc,bkt_3_M_member_perc,bkt_3_F_member_perc,bkt_4_M_member_perc,bkt_4_F_member_perc,agesexfactor,med_relativity,rx_relativity,avg_med_dded,avg_rx_dded,avg_med_copay,avg_mh_copay,avg_rx_copay,avg_med_coins,rx_pmpm,med_pmpm,total_pmpm_worebates
2016-01,FI,4277.295398,11.47,10.96,5.51,5.35,32.53,32,1.18,0.98,1.024427448,1.02255,0.90445,1766.357606,42.10442289,19.6585852,45.91073496,27.90305087,0.882045608,62.44506811,254.8915083,318.6880901
2016-02,FI,4275.280692,11.47,10.96,5.51,5.34,32.52,32,1.18,0.98,1.024776367,1.0222,0.90378,1769.286382,42.42303148,19.68187898,45.92052532,28.02087609,0.881952018,69.63368806,273.612848,344.7534884
2016-03,FI,4274.384727,11.49,10.97,5.51,5.32,32.56,31.94,1.19,0.99,1.024818212,1.02155,0.90297,1772.873372,43.31043473,19.65336676,45.62708644,28.27936473,0.881793346,77.44084922,299.7092507,378.8300138
2016-04,FI,4274.804498,11.47,10.95,5.51,5.32,32.56,31.95,1.21,1.01,1.025988546,1.02032,0.89978,1782.369196,43.47648169,19.72801293,45.69435914,28.47970195,0.881524859,75.68601748,284.2413936,361.5803377
2016-05,FI,4274.664802,11.48,10.96,5.5,5.32,32.54,31.95,1.22,1.01,1.026438902,1.01991,0.89848,1784.800927,43.98052322,19.80386242,45.73665177,28.68563158,0.881412912,79.28878638,292.2425387,373.250322
2016-06,FI,4290.602798,11.47,10.94,5.5,5.3,32.57,31.95,1.23,1.02,1.027050088,1.01764,0.8852,1802.756351,46.00714439,19.83489458,45.33132312,28.90485633,0.880755779,82.28039211,299.7205467,383.7884879
2016-07,FI,4300.359391,11.46,10.93,5.5,5.29,32.62,31.92,1.23,1.02,1.02746579,1.01563,0.88022,1818.504545,46.19831819,19.80034533,44.83501098,29.13643977,0.880041613,77.78367858,286.5590907,366.0277761
2016-08,FI,4296.041396,11.46,10.93,5.49,5.29,32.62,31.91,1.23,1.03,1.027913669,1.01531,0.87832,1821.878228,45.94521544,19.83602577,44.89627712,29.30407656,0.880025841,86.9951624,312.8023189,401.77307
2016-09,FI,4281.923101,11.48,10.94,5.49,5.3,32.58,31.9,1.24,1.03,1.028177136,1.01568,0.87425,1822.299204,45.91379179,19.86789498,44.87235634,29.4744596,0.880107002,80.55198941,300.698478,383.3984829
2016-10,FI,4291.678771,11.46,10.92,5.51,5.35,32.54,31.88,1.25,1.04,1.027826782,1.01228,0.86638,1837.138128,45.49555602,20.05251924,45.11501821,29.97953958,0.87903767,70.34269264,307.0971834,391.2260046
2016-11,FI,4297.639256,11.44,10.91,5.51,5.34,32.56,31.87,1.26,1.05,1.028437513,1.01084,0.86462,1845.600325,45.19461813,20.0606607,45.20476611,30.07290237,0.878673357,72.79496545,310.4501515,397.9198529
2016-12,FI,4295.612887,11.44,10.91,5.53,5.36,32.53,31.85,1.28,1.06,1.027918474,1.00906,0.86462,1861.054012,45.02954033,20.25205151,45.67962608,30.6713512,0.877399388,77.12287484,312.6608288,403.5968805
2017-01,FI,4362.601964,11.43,10.91,5.57,5.38,32.58,31.85,1.23,0.99,1.025625411,0.99684,0.85563,1933.820323,45.31448574,20.43453809,46.06500476,31.72374495,0.87399712,62.25869035,292.2626308,367.1157629
2017-02,FI,4349.976446,11.45,10.91,5.55,5.38,32.53,31.89,1.24,1.01,1.026336035,0.99775,0.85403,1927.140287,44.98045445,20.42233092,46.06452085,31.67109533,0.874290602,62.68971886,275.1086348,350.4599482
2017-03,FI,4346.652934,11.44,10.91,5.53,5.37,32.5,31.94,1.25,1.01,1.027076703,0.99793,0.85417,1928.063177,44.8217445,20.44440252,46.11520693,31.66131512,0.874335661,70.98332927,313.7808183,401.0062393
2017-04,FI,4350.952067,11.45,10.92,5.51,5.36,32.48,31.95,1.26,1.02,1.027332155,0.99619,0.85267,1937.606425,44.79735325,20.43647115,46.02551482,31.69886286,0.874026708,67.40477265,291.7863881,372.5776174
2017-05,FI,4351.676252,11.44,10.92,5.5,5.35,32.48,31.96,1.27,1.04,1.027841629,0.99544,0.85193,1941.153267,44.75563665,20.38705053,45.91757471,31.67720043,0.873736211,73.89175867,319.2516185,407.3489226
2017-06,FI,4360.119249,11.46,10.95,5.49,5.35,32.42,31.97,1.28,1.05,1.027805646,0.99395,0.85085,1952.388024,44.2333314,20.35111185,45.8760146,31.65849431,0.873383019,69.60053174,322.9606801,410.7936349
2017-07,FI,4366.112787,11.46,10.95,5.52,5.36,32.4,31.96,1.28,1.04,1.027765866,0.993,0.8526,1960.714986,45.13054391,20.44411189,46.14049963,31.85081385,0.872491861,72.44964788,309.6678867,396.0041152
2017-08,FI,4363.227257,11.46,10.96,5.52,5.37,32.38,31.95,1.29,1.05,1.028142157,0.99372,0.85339,1956.090272,45.11801943,20.40554911,45.98926755,31.81166547,0.87282966,80.1368705,337.359938,431.6788478
2017-09,FI,4363.584487,11.46,10.97,5.5,5.38,32.32,31.98,1.3,1.06,1.028413817,0.99304,0.85298,1960.305053,44.92380562,20.33617491,45.76805381,31.82585058,0.872622749,69.21992563,314.5751038,401.1317802
